Geneid,BT549,CaOV3,EEC16,EFO27,ES2,FT246,FT33,GTFR230,HEY,IOSE11,IOSE4,JHOC5,MCAS,MCF10A,MCF7,OAW42,RMGII,UWB1_289,VOA1056,Kuramochi
ENSG00000177133.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000142611.16,36,0,2,1,0,2,1,35,0,0,10,0,0,1,3,0,2,0,7,3
ENSG00000283572.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000226286.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279839.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000272235.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000130762.14,64,1,0,122,0,0,0,388,0,0,1,1,51,27,6,1,2,3,1,67
ENSG00000272088.1,2,0,0,7,0,0,0,1,0,0,0,0,2,4,2,0,0,0,0,2
ENSG00000162591.15,14,0,0,5,0,1,0,5,0,0,0,2,2,2,2,2,0,5,1,10
ENSG00000207776.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000238260.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000158109.14,2,0,1,0,0,0,0,1,5,1,0,1,1,0,1,1,1,1,0,4
ENSG00000116213.15,2,13,2,18,2,1,1,16,3,2,0,2,66,0,3,4,5,22,4,7
ENSG00000078900.14,19,13,9,44,1,1,1,70,5,21,13,8,0,10,1,21,6,21,5,53
ENSG00000227589.1,0,9,0,1,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,1
ENSG00000235131.1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2
ENSG00000227372.11,0,51,0,71,0,0,0,133,8,3,8,5,18,9,30,0,14,5,1,38
ENSG00000276189.1,13,13,4,18,0,0,0,52,0,10,10,3,0,11,0,8,3,11,5,30
ENSG00000162592.9,92,84,88,265,0,1,2,232,0,125,67,24,0,91,52,131,30,126,64,300
ENSG00000235169.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000130764.9,12,55,5,83,4,0,0,20,3,90,7,26,15,31,27,56,10,6,44,245
ENSG00000266075.2,1,0,0,2,0,0,0,1,0,0,3,1,2,1,0,1,1,0,4,3
ENSG00000272153.1,230,96,123,168,199,1,1,311,175,125,113,103,209,116,115,148,184,204,110,331
ENSG00000116198.12,0,1,0,0,0,0,0,4,3,2,0,0,1,0,1,3,7,2,0,12
ENSG00000169598.15,0,0,2,1,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0
ENSG00000198912.10,0,0,2,1,1,0,1,0,2,0,0,0,4,2,14,0,2,1,3,0
ENSG00000236423.5,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,8,1,0
ENSG00000233304.6,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
ENSG00000226374.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000229280.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235054.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
ENSG00000227169.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232596.2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
ENSG00000196581.10,0,0,0,1,0,0,1,0,17,0,0,0,1,0,0,0,0,19,0,17
ENSG00000231510.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000260972.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000283356.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236948.2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0
ENSG00000264341.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264101.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000131697.17,0,1,1,2,1,1,2,0,1,2,0,1,0,2,2,0,4,0,0,17
ENSG00000069424.14,3,5,4,30,15,1,2,8,11,15,6,3,13,11,4,8,7,5,11,14
ENSG00000116254.17,0,5,0,1,0,2,0,0,0,0,0,2,0,0,1,0,3,0,0,2
ENSG00000116251.9,36,38,36,311,9,3,14,42,69,99,54,67,98,143,12,67,100,20,87,105
ENSG00000226944.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000158286.12,23,19,40,18,191,0,0,20,8,16,11,11,22,18,6,13,18,12,29,30
ENSG00000116237.15,11,16,27,67,25,0,4,30,39,53,19,27,22,35,0,9,24,3,46,34
ENSG00000225077.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000173673.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000158292.6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
ENSG00000097021.19,7,6,8,9,14,3,1,8,18,16,11,6,32,7,7,5,5,3,4,11
ENSG00000271746.1,0,0,1,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,1,1
ENSG00000069812.11,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,4,0
